@RELATION CLASSES

@ATTRIBUTE atb1 NUMERIC
@ATTRIBUTE atb2 NUMERIC
@ATTRIBUTE atb3 NUMERIC
@ATTRIBUTE atb4 NUMERIC
@ATTRIBUTE atb5 NUMERIC
@ATTRIBUTE atb6 NUMERIC
@ATTRIBUTE atb7 NUMERIC
@ATTRIBUTE atb8 NUMERIC

@ATTRIBUTE class {class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10}

@DATA
1.730594,4.518660,2.942602,8.215250,0.137931,0.391649,3.961456,8.614676,class_3
1.654812,6.109024,2.798429,7.348198,0.221154,0.472786,1.325694,5.953181,class_3
0.528378,3.550105,1.966667,5.071901,0.105263,0.347129,2.324324,6.746165,class_3
0.083994,0.280220,0.810191,4.089713,0.042328,0.201336,0.058776,0.242046,class_3
4.113232,5.711125,6.137143,7.122282,7.556291,9.736009,5.772809,6.786568,class_3
2.291328,6.005007,3.269802,6.323497,0.072727,0.259688,2.263482,5.618309,class_3
2.085821,3.981468,0.952080,4.701050,3.003731,8.531110,0.893735,5.313320,class_3
0.974889,3.711448,0.933099,5.205765,0.040541,0.197223,0.116537,0.331082,class_3
1.580963,4.188725,0.992505,3.490726,0.024390,0.154257,1.789539,4.906274,class_3
3.659898,7.446838,2.239080,5.464648,0.133028,0.339604,4.481050,5.689648,class_3
1.430716,3.721597,0.135884,1.273333,0.027871,0.637081,0.143955,1.791587,class_3
0.778583,4.097455,1.084337,4.969073,0.089888,0.305031,2.002491,7.179603,class_3
1.243182,3.587852,1.000000,3.565710,0.125000,0.343953,1.763126,5.385737,class_3
1.576115,4.562210,2.737589,6.350271,0.103846,0.305061,2.278308,6.832355,class_3
3.429730,7.059529,3.713904,7.217475,2.789855,4.049428,2.798131,3.612594,class_3
1.674870,5.043771,2.059666,6.929669,0.114504,0.318422,2.043093,6.711938,class_3
0.809152,1.687786,0.613483,1.175135,0.736422,2.485585,0.970760,1.893130,class_3
0.099352,0.760001,0.086066,1.034631,0.016529,0.156589,0.043937,0.277769,class_3
1.408590,4.964346,0.888186,2.319007,0.042017,0.200628,0.835473,5.087542,class_3
0.868421,1.580657,1.953283,3.537546,1.165948,2.882850,1.399129,2.245860,class_3
4.286982,7.021346,5.200284,7.623860,5.050847,9.577381,4.820663,9.697923,class_3
2.739637,5.738095,2.060794,5.864053,1.102459,5.266052,2.318881,5.342441,class_3
1.749023,6.187224,1.276119,3.348572,0.122727,0.402754,0.632399,3.502835,class_3
2.532544,5.966410,3.823099,5.637644,3.568966,10.032554,3.422427,6.668682,class_3
1.025424,5.048346,2.194245,5.469836,1.159091,4.727145,1.186624,4.631480,class_3
1.236196,4.500675,0.385882,2.698023,0.085470,0.279580,0.130742,0.347442,class_3
2.198337,6.828218,1.733333,6.827314,0.059659,0.248559,3.958998,7.041249,class_3
2.748945,8.389154,2.196226,8.366103,0.044974,0.231372,2.727829,6.158154,class_3
1.628032,2.908148,1.872995,3.051022,1.476852,2.796231,1.270059,2.404632,class_3
